latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
49.5492,-123.9559,323.6,1.2,1.1,2006-03-27,1905,Terra,MODIS,72,6.03,282.1,33.8,D,0,51.0,11.959499,3.7595,7.4199176,10.894128,0.74348974,4.8737326,45366.617,31583.346,0.70000005,0.70000005,0.0,2.0,10.514218,25.919998,11.5111265,16.73,2.2940388
48.561,-123.3917,302.4,1.4,1.2,2006-04-22,1942,Terra,MODIS,41,6.03,291.3,6.0,D,2,1.0,12.7595,0.9595001,8.092833,11.130799,-2.1411195,5.5038753,50912.156,46833.04,0.0,0.0,0.0,0.0,12.303366,34.92,323.7525,25.7,3.3937964
49.4474,-123.704,326.6,1.0,1.0,2006-04-24,1930,Terra,MODIS,0,6.03,293.0,25.9,D,0,1.0,18.4095,6.3595,12.742833,17.87298,3.3888683,10.9486,51320.65,47447.848,0.0,0.0,0.0,0.0,9.885262,24.84,8.291184,26.2,4.1341476
49.4474,-123.7128,337.8,1.0,1.0,2006-04-24,2113,Aqua,MODIS,0,6.03,296.2,39.5,D,0,1.0,18.4095,6.3595,12.742833,17.87298,3.3888683,10.9486,51320.65,47447.848,0.0,0.0,0.0,0.0,9.885262,24.84,8.291184,26.2,4.1341476
49.0532,-123.9274,304.4,1.0,1.0,2006-05-03,1924,Terra,MODIS,58,6.03,293.8,4.0,D,0,2.0,16.8595,5.6095,11.626166,15.783863,2.4022002,9.3199,53093.72,49109.04,0.0,0.0,0.0,0.0,11.013882,25.56,340.777,27.81,4.2969294
49.0558,-123.9346,305.9,1.0,1.0,2006-05-03,2107,Aqua,MODIS,62,6.03,295.7,4.7,D,0,2.0,16.8595,5.6095,11.626166,15.783863,2.4022002,9.3199,53093.72,49109.04,0.0,0.0,0.0,0.0,11.013882,25.56,340.777,27.81,4.2969294
49.2225,-122.5449,304.1,1.9,1.3,2006-05-09,2030,Aqua,MODIS,31,6.03,289.9,13.5,D,0,3.0,13.709499,4.3095,9.963666,11.854383,2.064169,8.1036005,54177.863,49696.008,0.0,0.0,0.0,0.0,9.826088,26.64,250.01686,25.59,3.3959877
49.9708,-122.4376,300.1,1.0,1.0,2006-05-17,603,Terra,MODIS,18,6.03,287.6,5.3,N,0,3.0,22.1095,12.3595,17.753248,22.967255,12.123625,17.954805,55516.17,50310.0,0.0,0.0,0.0,0.0,8.089993,21.96,206.56488,25.14,4.185793
49.1731,-122.6804,309.9,2.0,1.4,2006-06-23,1955,Terra,MODIS,22,6.03,296.5,14.5,D,2,2.0,20.6095,10.1095,16.321999,21.159369,9.191279,16.03261,58456.633,53521.523,0.0,0.0,0.0,0.0,8.647496,25.919998,281.54248,30.54,4.882033
48.9105,-123.7346,312.0,1.1,1.0,2006-06-27,1930,Terra,MODIS,50,6.03,301.3,7.5,D,2,1.0,24.3595,14.409499,19.926165,25.715105,14.71137,20.506712,58362.266,53575.824,0.0,0.0,0.0,0.0,7.729527,25.199999,175.51549,30.99,5.543178
48.9092,-123.3863,348.5,1.5,1.2,2006-07-24,539,Terra,MODIS,100,6.03,297.4,0.0,N,0,0.0,27.4095,18.8095,23.417831,28.604248,20.084068,24.564018,55745.266,51533.277,0.0,0.0,0.0,0.0,10.587917,30.239998,246.80138,27.06,5.2281275
48.9052,-123.4058,330.0,1.5,1.2,2006-07-24,539,Terra,MODIS,100,6.03,295.6,53.1,N,3,0.0,27.4095,18.8095,23.417831,28.604248,20.084068,24.564018,55745.266,51533.277,0.0,0.0,0.0,0.0,10.587917,30.239998,246.80138,27.06,5.2281275
48.9081,-123.3927,317.4,1.1,1.0,2006-07-24,1912,Terra,MODIS,0,6.03,300.3,12.4,D,0,0.0,27.4095,18.8095,23.417831,28.604248,20.084068,24.564018,55745.266,51533.277,0.0,0.0,0.0,0.0,10.587917,30.239998,246.80138,27.06,5.2281275
49.482,-123.7323,300.3,1.5,1.2,2006-08-03,1949,Terra,MODIS,0,6.03,286.4,7.1,D,0,3.0,22.0595,14.5095,18.567835,22.138197,14.155952,18.504538,54113.516,49125.234,0.0,0.0,0.0,0.0,8.557102,27.0,243.95425,25.26,4.3398366
49.1369,-122.3096,308.5,1.0,1.0,2006-08-16,1918,Terra,MODIS,0,6.03,297.1,6.1,D,2,3.0,21.1095,13.1095,17.051168,21.42362,13.256475,17.013866,51680.508,45111.43,0.0,0.0,0.0,0.0,8.587338,27.359999,165.23276,23.01,3.8371482
49.9561,-122.0978,314.2,1.7,1.3,2006-08-19,2134,Aqua,MODIS,62,6.03,300.6,18.5,D,0,3.0,24.209501,13.209499,19.405334,24.98181,13.46907,19.883883,51084.92,46895.445,0.0,0.0,0.0,0.0,7.6367526,23.759998,312.83887,24.82,4.3934402
49.9576,-122.0794,314.4,1.7,1.3,2006-08-19,2134,Aqua,MODIS,65,6.03,300.6,18.8,D,0,3.0,24.209501,13.209499,19.405334,24.98181,13.46907,19.883883,51084.92,46895.445,0.0,0.0,0.0,0.0,7.6367526,23.759998,312.83887,24.82,4.3934402
49.9687,-122.0856,341.7,1.7,1.3,2006-08-19,2134,Aqua,MODIS,92,6.03,297.8,90.4,D,0,3.0,24.209501,13.209499,19.405334,24.98181,13.46907,19.883883,51084.92,46895.445,0.0,0.0,0.0,0.0,7.6367526,23.759998,312.83887,24.82,4.3934402
49.9674,-122.1024,340.8,1.7,1.3,2006-08-19,2134,Aqua,MODIS,91,6.03,299.3,86.9,D,0,3.0,24.209501,13.209499,19.405334,24.98181,13.46907,19.883883,51084.92,46895.445,0.0,0.0,0.0,0.0,7.6367526,23.759998,312.83887,24.82,4.3934402
49.9667,-122.09,358.2,1.7,1.3,2006-08-19,2134,Aqua,MODIS,99,6.03,301.2,167.5,D,0,3.0,24.209501,13.209499,19.405334,24.98181,13.46907,19.883883,51084.92,46895.445,0.0,0.0,0.0,0.0,7.6367526,23.759998,312.83887,24.82,4.3934402
