latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,city,weather_latitude,weather_longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,weather_code,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
53.6664,-116.0981,300.4,1.1,1.0,2006-01-03,2018,Aqua,MODIS,37,6.03,266.4,11.6,D,0,Edson,53.581,-116.439,-0.911,-11.061001,-7.263083,3.0,-5.079112,-15.688283,-11.705868,27424.322,21256.86,0.0,0.0,0.0,0.0,10.883676,16.199999,254.49893,3.44,0.26127976
53.1096,-116.1276,369.4,1.1,1.1,2006-01-19,2018,Aqua,MODIS,99,6.03,266.0,0.0,D,0,Edson,53.581,-116.439,-3.161,-12.361,-8.698501,71.0,-6.665084,-17.00865,-12.956857,29634.525,22549.48,0.3,0.0,0.56,2.0,9.659814,15.4800005,228.28926,3.74,0.28567007
53.1087,-116.1484,363.9,1.0,1.0,2006-01-24,1851,Terra,MODIS,0,6.03,272.6,103.7,D,0,Edson,53.581,-116.439,5.439,-3.861,-0.1068334,71.0,1.7960954,-8.172078,-3.9444573,30570.139,20833.922,0.1,0.0,0.07,1.0,13.891522,36.0,217.89644,4.64,0.5534
53.1066,-116.1334,357.2,1.0,1.0,2006-01-24,1851,Terra,MODIS,75,6.03,272.8,86.2,D,0,Edson,53.581,-116.439,5.439,-3.861,-0.1068334,71.0,1.7960954,-8.172078,-3.9444573,30570.139,20833.922,0.1,0.0,0.07,1.0,13.891522,36.0,217.89644,4.64,0.5534
53.9931,-116.4935,319.8,2.9,1.6,2006-02-01,2126,Aqua,MODIS,72,6.03,274.4,105.2,D,0,Edson,53.581,-116.439,2.4390001,-6.861,-2.4714167,71.0,-0.9050405,-10.8025,-6.42357,32227.53,24489.07,0.2,0.0,0.14,2.0,13.138765,25.919998,240.23303,5.66,0.6504932
53.9948,-116.5026,318.3,2.9,1.6,2006-02-01,2126,Aqua,MODIS,69,6.03,274.6,99.2,D,0,Edson,53.581,-116.439,2.4390001,-6.861,-2.4714167,71.0,-0.9050405,-10.8025,-6.42357,32227.53,24489.07,0.2,0.0,0.14,2.0,13.138765,25.919998,240.23303,5.66,0.6504932
53.9863,-116.4806,323.1,1.0,1.0,2006-02-02,2030,Aqua,MODIS,82,6.03,274.1,25.7,D,0,Edson,53.581,-116.439,2.9390001,-7.161,-3.3943331,71.0,-0.73559666,-11.590723,-7.6985,32450.918,27702.041,0.1,0.0,0.07,1.0,13.1041975,23.039999,240.29599,5.76,0.6646987
53.984,-116.4955,398.2,1.0,1.0,2006-02-02,2030,Aqua,MODIS,100,6.03,283.1,248.2,D,0,Edson,53.581,-116.439,2.9390001,-7.161,-3.3943331,71.0,-0.73559666,-11.590723,-7.6985,32450.918,27702.041,0.1,0.0,0.07,1.0,13.1041975,23.039999,240.29599,5.76,0.6646987
53.9818,-116.5104,332.3,1.0,1.0,2006-02-02,2030,Aqua,MODIS,88,6.03,276.5,34.9,D,0,Edson,53.581,-116.439,2.9390001,-7.161,-3.3943331,71.0,-0.73559666,-11.590723,-7.6985,32450.918,27702.041,0.1,0.0,0.07,1.0,13.1041975,23.039999,240.29599,5.76,0.6646987
53.9773,-116.5402,337.7,1.0,1.0,2006-02-02,2030,Aqua,MODIS,91,6.03,275.1,44.3,D,0,Edson,53.581,-116.439,2.9390001,-7.161,-3.3943331,71.0,-0.73559666,-11.590723,-7.6985,32450.918,27702.041,0.1,0.0,0.07,1.0,13.1041975,23.039999,240.29599,5.76,0.6646987
53.9751,-116.5551,317.0,1.0,1.0,2006-02-02,2030,Aqua,MODIS,77,6.03,274.3,19.6,D,0,Edson,53.581,-116.439,2.9390001,-7.161,-3.3943331,71.0,-0.73559666,-11.590723,-7.6985,32450.918,27702.041,0.1,0.0,0.07,1.0,13.1041975,23.039999,240.29599,5.76,0.6646987
53.9861,-116.5441,301.9,1.0,1.0,2006-02-02,2030,Aqua,MODIS,40,6.03,273.5,8.3,D,0,Edson,53.581,-116.439,2.9390001,-7.161,-3.3943331,71.0,-0.73559666,-11.590723,-7.6985,32450.918,27702.041,0.1,0.0,0.07,1.0,13.1041975,23.039999,240.29599,5.76,0.6646987
54.0696,-116.3271,313.0,1.5,1.2,2006-02-05,2101,Aqua,MODIS,69,6.03,266.2,33.9,D,0,Edson,53.581,-116.439,-1.861,-10.661,-5.0630836,3.0,-7.966427,-15.21088,-10.2677355,33136.61,28508.832,0.0,0.0,0.0,0.0,20.696087,51.48,316.2646,6.51,0.7139406
54.0676,-116.351,305.7,1.5,1.2,2006-02-05,2101,Aqua,MODIS,54,6.03,265.8,23.9,D,0,Edson,53.581,-116.439,-1.861,-10.661,-5.0630836,3.0,-7.966427,-15.21088,-10.2677355,33136.61,28508.832,0.0,0.0,0.0,0.0,20.696087,51.48,316.2646,6.51,0.7139406
53.4901,-116.7579,327.3,1.0,1.0,2006-03-06,2031,Aqua,MODIS,0,6.03,268.3,31.7,D,0,Edson,53.581,-116.439,4.989,-16.011,-4.4193335,3.0,0.7921705,-20.779179,-8.48339,40296.504,35771.465,0.0,0.0,0.0,0.0,13.202726,23.039999,115.98429,12.54,1.2414303
53.4807,-116.6071,313.6,2.8,1.6,2006-03-19,1953,Terra,MODIS,64,6.03,266.9,80.0,D,0,Edson,53.581,-116.439,-2.5609999,-18.111,-10.152667,3.0,-7.3737297,-22.608784,-14.766486,43637.15,39582.066,0.0,0.0,0.0,0.0,13.363711,30.960001,97.577934,16.32,1.07887
53.1054,-116.1561,314.3,2.6,1.6,2006-05-15,1809,Terra,MODIS,60,6.03,296.1,46.6,D,0,Edson,53.581,-116.439,21.989,3.589,13.770249,3.0,20.511496,0.18323612,11.418625,57355.633,52306.016,0.0,0.0,0.0,0.0,13.493999,27.359999,110.91265,28.0,5.028161
53.1013,-116.1637,311.7,2.6,1.6,2006-05-15,1809,Terra,MODIS,64,6.03,296.2,38.6,D,0,Edson,53.581,-116.439,21.989,3.589,13.770249,3.0,20.511496,0.18323612,11.418625,57355.633,52306.016,0.0,0.0,0.0,0.0,13.493999,27.359999,110.91265,28.0,5.028161
