latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,city
53.6664,-116.0981,300.4,1.1,1.0,2006-01-03,2018,Aqua,MODIS,37,6.03,266.4,11.6,D,0,Edson
53.1096,-116.1276,369.4,1.1,1.1,2006-01-19,2018,Aqua,MODIS,99,6.03,266.0,0.0,D,0,Edson
53.1087,-116.1484,363.9,1.0,1.0,2006-01-24,1851,Terra,MODIS,0,6.03,272.6,103.7,D,0,Edson
53.1066,-116.1334,357.2,1.0,1.0,2006-01-24,1851,Terra,MODIS,75,6.03,272.8,86.2,D,0,Edson
53.9931,-116.4935,319.8,2.9,1.6,2006-02-01,2126,Aqua,MODIS,72,6.03,274.4,105.2,D,0,Edson
53.9948,-116.5026,318.3,2.9,1.6,2006-02-01,2126,Aqua,MODIS,69,6.03,274.6,99.2,D,0,Edson
53.9863,-116.4806,323.1,1.0,1.0,2006-02-02,2030,Aqua,MODIS,82,6.03,274.1,25.7,D,0,Edson
53.984,-116.4955,398.2,1.0,1.0,2006-02-02,2030,Aqua,MODIS,100,6.03,283.1,248.2,D,0,Edson
53.9818,-116.5104,332.3,1.0,1.0,2006-02-02,2030,Aqua,MODIS,88,6.03,276.5,34.9,D,0,Edson
53.9773,-116.5402,337.7,1.0,1.0,2006-02-02,2030,Aqua,MODIS,91,6.03,275.1,44.3,D,0,Edson
53.9751,-116.5551,317.0,1.0,1.0,2006-02-02,2030,Aqua,MODIS,77,6.03,274.3,19.6,D,0,Edson
53.9861,-116.5441,301.9,1.0,1.0,2006-02-02,2030,Aqua,MODIS,40,6.03,273.5,8.3,D,0,Edson
54.0696,-116.3271,313.0,1.5,1.2,2006-02-05,2101,Aqua,MODIS,69,6.03,266.2,33.9,D,0,Edson
54.0676,-116.351,305.7,1.5,1.2,2006-02-05,2101,Aqua,MODIS,54,6.03,265.8,23.9,D,0,Edson
53.4901,-116.7579,327.3,1.0,1.0,2006-03-06,2031,Aqua,MODIS,0,6.03,268.3,31.7,D,0,Edson
53.4807,-116.6071,313.6,2.8,1.6,2006-03-19,1953,Terra,MODIS,64,6.03,266.9,80.0,D,0,Edson
53.1054,-116.1561,314.3,2.6,1.6,2006-05-15,1809,Terra,MODIS,60,6.03,296.1,46.6,D,0,Edson
53.1013,-116.1637,311.7,2.6,1.6,2006-05-15,1809,Terra,MODIS,64,6.03,296.2,38.6,D,0,Edson
53.0995,-116.1249,306.7,2.6,1.6,2006-05-15,1809,Terra,MODIS,45,6.03,293.8,23.3,D,0,Edson
53.1032,-116.1402,311.1,2.5,1.5,2006-05-15,1947,Terra,MODIS,63,6.03,296.7,30.6,D,0,Edson
53.0974,-116.1496,311.6,2.5,1.5,2006-05-15,1947,Terra,MODIS,64,6.03,296.9,33.7,D,0,Edson
53.2109,-116.8033,309.2,1.0,1.0,2006-06-24,1858,Terra,MODIS,64,6.03,294.9,6.1,D,0,Edson
53.2519,-116.4214,320.9,1.1,1.0,2006-06-24,2044,Aqua,MODIS,78,6.03,296.6,17.0,D,0,Edson
53.2538,-116.4058,324.7,1.1,1.0,2006-06-24,2044,Aqua,MODIS,81,6.03,295.7,21.4,D,0,Edson
53.2065,-116.8105,300.4,1.1,1.1,2006-06-29,0546,Terra,MODIS,26,6.03,284.3,7.1,N,0,Edson
53.0948,-116.2382,317.8,1.2,1.1,2006-07-05,1840,Terra,MODIS,70,6.03,303.2,15.2,D,0,Edson
53.0853,-116.2446,314.0,1.0,1.0,2006-07-05,2026,Aqua,MODIS,54,6.03,295.7,8.0,D,0,Edson
53.209,-116.7217,304.9,1.0,1.0,2006-07-19,1852,Terra,MODIS,31,6.03,292.8,3.8,D,0,Edson
53.5627,-116.5594,300.3,1.3,1.1,2006-07-22,0552,Terra,MODIS,25,6.03,287.5,7.4,N,0,Edson
53.196,-116.766,310.7,3.8,1.8,2006-07-23,2005,Terra,MODIS,67,6.03,293.6,42.2,D,0,Edson
53.2116,-116.8167,316.0,3.8,1.8,2006-07-23,2005,Terra,MODIS,74,6.03,293.2,71.1,D,0,Edson
53.2092,-116.806,323.0,1.3,1.1,2006-07-23,2014,Aqua,MODIS,78,6.03,298.6,22.9,D,0,Edson
53.2055,-116.8248,315.5,1.3,1.1,2006-07-23,2014,Aqua,MODIS,68,6.03,298.9,12.5,D,0,Edson
53.3065,-116.687,300.9,1.1,1.1,2006-08-13,1846,Terra,MODIS,26,6.03,290.1,2.1,D,0,Edson
53.1306,-116.0195,315.3,2.6,1.5,2006-11-07,1947,Terra,MODIS,76,6.03,275.4,73.0,D,0,Edson
53.1385,-116.0207,304.9,2.6,1.5,2006-11-07,1947,Terra,MODIS,60,6.03,275.4,40.3,D,0,Edson
53.1259,-116.0305,305.6,2.6,1.5,2006-11-07,1947,Terra,MODIS,62,6.03,274.9,42.0,D,0,Edson
53.1292,-116.0299,327.5,1.9,1.3,2006-11-07,1956,Aqua,MODIS,85,6.03,275.5,75.4,D,0,Edson
53.1331,-116.0399,323.0,1.9,1.3,2006-11-07,1956,Aqua,MODIS,82,6.03,275.2,64.7,D,0,Edson
53.1649,-116.7745,316.8,2.0,1.4,2006-11-07,1956,Aqua,MODIS,77,6.03,274.8,55.0,D,0,Edson
53.1675,-116.7705,310.0,3.3,1.7,2006-11-07,2134,Aqua,MODIS,15,6.03,271.9,74.8,D,0,Edson
53.9898,-116.6494,323.2,1.1,1.1,2006-11-17,1846,Terra,MODIS,82,6.03,270.6,32.4,D,0,Edson
53.8414,-116.2441,306.3,1.5,1.2,2006-11-18,1928,Terra,MODIS,28,6.03,269.7,20.9,D,0,Edson
53.8234,-116.2002,304.2,1.5,1.2,2006-11-18,1928,Terra,MODIS,34,6.03,269.0,19.0,D,0,Edson
53.8217,-116.2204,325.4,2.1,1.4,2006-11-18,2116,Aqua,MODIS,77,6.03,269.1,82.8,D,0,Edson
53.8345,-116.2227,320.6,2.1,1.4,2006-11-18,2116,Aqua,MODIS,73,6.03,268.7,73.4,D,0,Edson
53.8326,-116.2551,315.4,2.1,1.4,2006-11-18,2116,Aqua,MODIS,64,6.03,269.0,58.8,D,0,Edson
53.8654,-116.178,322.5,1.2,1.1,2006-11-20,1916,Terra,MODIS,62,6.03,266.2,33.4,D,0,Edson
