latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.5492,-123.9559,323.6,1.2,1.1,2006-03-27,1905,Terra,MODIS,72,6.03,282.1,33.8,D,0
48.561,-123.3917,302.4,1.4,1.2,2006-04-22,1942,Terra,MODIS,41,6.03,291.3,6.0,D,2
49.4474,-123.704,326.6,1.0,1.0,2006-04-24,1930,Terra,MODIS,0,6.03,293.0,25.9,D,0
49.4474,-123.7128,337.8,1.0,1.0,2006-04-24,2113,Aqua,MODIS,0,6.03,296.2,39.5,D,0
49.0532,-123.9274,304.4,1.0,1.0,2006-05-03,1924,Terra,MODIS,58,6.03,293.8,4.0,D,0
49.0558,-123.9346,305.9,1.0,1.0,2006-05-03,2107,Aqua,MODIS,62,6.03,295.7,4.7,D,0
49.2225,-122.5449,304.1,1.9,1.3,2006-05-09,2030,Aqua,MODIS,31,6.03,289.9,13.5,D,0
49.9708,-122.4376,300.1,1.0,1.0,2006-05-17,0603,Terra,MODIS,18,6.03,287.6,5.3,N,0
49.1731,-122.6804,309.9,2.0,1.4,2006-06-23,1955,Terra,MODIS,22,6.03,296.5,14.5,D,2
48.9105,-123.7346,312.0,1.1,1.0,2006-06-27,1930,Terra,MODIS,50,6.03,301.3,7.5,D,2
48.9092,-123.3863,348.5,1.5,1.2,2006-07-24,0539,Terra,MODIS,100,6.03,297.4,0.0,N,0
48.9052,-123.4058,330.0,1.5,1.2,2006-07-24,0539,Terra,MODIS,100,6.03,295.6,53.1,N,3
48.9081,-123.3927,317.4,1.1,1.0,2006-07-24,1912,Terra,MODIS,0,6.03,300.3,12.4,D,0
49.482,-123.7323,300.3,1.5,1.2,2006-08-03,1949,Terra,MODIS,0,6.03,286.4,7.1,D,0
49.1369,-122.3096,308.5,1.0,1.0,2006-08-16,1918,Terra,MODIS,0,6.03,297.1,6.1,D,2
49.9561,-122.0978,314.2,1.7,1.3,2006-08-19,2134,Aqua,MODIS,62,6.03,300.6,18.5,D,0
49.9576,-122.0794,314.4,1.7,1.3,2006-08-19,2134,Aqua,MODIS,65,6.03,300.6,18.8,D,0
49.9687,-122.0856,341.7,1.7,1.3,2006-08-19,2134,Aqua,MODIS,92,6.03,297.8,90.4,D,0
49.9674,-122.1024,340.8,1.7,1.3,2006-08-19,2134,Aqua,MODIS,91,6.03,299.3,86.9,D,0
49.9667,-122.09,358.2,1.7,1.3,2006-08-19,2134,Aqua,MODIS,99,6.03,301.2,167.5,D,0
49.9654,-122.107,327.2,1.7,1.3,2006-08-19,2134,Aqua,MODIS,82,6.03,300.5,45.0,D,0
49.1207,-122.62,323.5,1.6,1.2,2006-08-20,2038,Aqua,MODIS,79,6.03,305.2,24.0,D,0
49.1251,-122.5991,317.2,1.6,1.2,2006-08-20,2038,Aqua,MODIS,71,6.03,303.4,13.7,D,0
49.0415,-122.7774,309.6,2.0,1.4,2006-09-11,1955,Terra,MODIS,68,6.03,293.9,16.9,D,2
49.1886,-122.6241,300.4,1.2,1.1,2006-09-22,1936,Terra,MODIS,36,6.03,286.6,4.9,D,0
49.0396,-122.5965,307.1,2.0,1.4,2006-09-27,1954,Terra,MODIS,63,6.03,294.5,12.4,D,0
49.0383,-122.6029,311.6,2.0,1.4,2006-09-27,1954,Terra,MODIS,70,6.03,294.6,20.9,D,0
